knowledge,age,status,handicap,intention,degree,experience,pe,ml,apec,cap,espace_metier
false,[16-30],Stagiaire – En formation,false,true,Licence,true,true,false,false,false,true
false,[16-26),Apprenti·e,false,false,Licence,true,true,true,true,false,true
true,[26-30],Apprenti·e,false,true,BAC,true,false,true,false,false,false
true,[26-30],Étudiant·e,false,true,Licence,true,false,false,false,false,false
true,[16-26),Stagiaire – En formation,false,true,BAC,true,true,false,false,false,true
false,[26-30],Sans activité,false,false,BAC,true,false,false,false,false,true
true,[16-26),Salarié·e,false,false,BAC,true,true,true,true,false,false
false,[26-30],Étudiant·e,false,false,Licence,true,true,true,false,false,true
false,[16-26),Salarié·e,false,true,Licence,true,false,true,true,false,true
true,[16-26),Apprenti·e,false,true,BAC,true,true,false,false,false,false
false,[26-30],Salarié·e,false,true,Licence,true,false,true,true,false,true
false,[16-26),Sans activité,false,false,BAC,true,false,false,true,false,true
true,[26-30],Salarié·e,false,true,Licence,true,true,false,false,false,false
true,[16-26),Étudiant·e,false,true,Licence,true,false,true,true,false,false
true,[26-30],Apprenti·e,false,true,Licence,true,false,true,false,false,false
false,[16-30],Stagiaire – En formation,false,false,Licence,true,true,true,true,false,true
true,[26-30],Sans activité,false,false,Licence,true,true,true,false,false,true
false,[16-26),Apprenti·e,false,false,Licence,true,true,false,false,false,true
true,[26-30],Stagiaire – En formation,false,true,BAC,true,false,true,false,false,false
true,[26-30],Salarié·e,false,true,BAC,true,false,false,false,false,false
true,[26-30],Salarié·e,false,true,Licence,true,true,true,true,false,false
true,[26-30],Sans activité,false,false,BAC,true,false,true,false,false,false
false,[16-30],Sans activité,false,true,Licence,true,false,false,true,false,true
true,[16-26),Sans activité,false,false,BAC,true,true,false,true,false,true
true,[16-26),Sans activité,false,true,Licence,true,true,true,true,false,true
false,[26-30],Stagiaire – En formation,false,false,Licence,true,true,false,false,false,true
false,[16-30],Stagiaire – En formation,false,false,Licence,true,false,true,true,false,true
true,[16-26),Étudiant·e,false,false,Licence,true,false,true,false,false,false
true,[16-26),Étudiant·e,false,true,BAC,true,false,false,true,false,true
false,[26-30],Sans activité,false,true,Licence,true,false,false,false,false,true
false,[26-30],Apprenti·e,false,true,Licence,true,false,false,true,false,true
true,[26-30],Étudiant·e,false,false,Licence,true,false,false,false,false,false
false,[16-26),Étudiant·e,false,false,Licence,true,false,false,true,false,true
true,[26-30],Étudiant·e,false,true,BAC,true,false,true,false,false,false
false,[16-30],Étudiant·e,false,true,Licence,true,false,true,false,false,true
false,[16-26),Sans activité,false,true,Licence,true,false,false,false,false,true
true,[16-26),Salarié·e,false,true,BAC,true,false,false,false,false,true
true,[16-30],Stagiaire – En formation,false,true,Licence,true,true,false,false,false,true
true,[16-26),Stagiaire – En formation,false,false,Licence,true,true,true,false,false,true
false,[16-26),Apprenti·e,false,true,Licence,true,true,false,false,false,true
true,[16-26),Salarié·e,false,false,BAC,true,false,true,true,false,true
false,[16-26),Sans activité,false,false,Licence,true,true,true,true,false,true
false,[16-30],Apprenti·e,false,false,Licence,true,true,false,true,false,true
false,[16-26),Stagiaire – En formation,false,false,Licence,true,false,true,true,false,true
true,[16-26),Apprenti·e,false,false,Licence,true,true,false,false,false,false
true,[16-30],Salarié·e,false,false,Licence,true,true,false,true,false,false
true,[26-30],Apprenti·e,false,false,BAC,true,false,false,false,false,false
false,[16-26),Stagiaire – En formation,false,true,Licence,true,false,false,false,false,true
true,[16-26),Apprenti·e,false,false,BAC,true,false,false,false,false,false
true,[16-26),Stagiaire – En formation,false,false,BAC,true,true,true,false,false,true
true,[16-30],Stagiaire – En formation,false,false,Licence,true,true,false,false,false,true
true,[26-30],Étudiant·e,false,true,Licence,true,false,false,true,false,false
false,[26-30],Stagiaire – En formation,false,true,Licence,true,true,false,false,false,true
false,[16-26),Stagiaire – En formation,true,false,License,true,true,true,false,false,false
true,[26-30],Salarié·e,true,false,BAC,false,false,false,false,false,false
false,[16-30],Apprenti·e,true,false,CAP,false,false,true,false,false,false
false,[16-30],Sans activité,true,false,BEP,false,false,true,false,false,false
false,[16-26),Salarié·e,false,false,BEP,true,true,false,false,false,true
false,[16-26),Stagiaire – En formation,true,false,License,true,true,true,false,false,false
true,[26-30],Salarié·e,true,false,BAC,false,false,false,false,false,false
false,[16-30],Apprenti·e,true,false,CAP,false,false,true,false,false,false
false,[16-30],Sans activité,true,false,BEP,false,false,true,false,false,false
false,[16-26),Salarié·e,false,false,BEP,true,true,false,false,false,false
true,[16-26),Apprenti·e,true,false,BAC,false,true,false,true,false,false
true,[26-30],Apprenti·e,true,false,License,false,true,false,true,false,false
true,[16-26),Apprenti·e,true,false,BTS ou DUT,true,false,true,false,false,false
false,[16-26),Salarié·e,true,false,BEP,true,false,false,true,true,false
false,[26-30],Apprenti·e,true,false,CAP,true,false,false,false,true,false
true,[16-30],Salarié·e,true,false,BEP,false,true,true,false,true,false
true,[16-30],Étudiant·e,true,false,BTS ou DUT,false,true,false,false,false,false
false,[16-26),Salarié·e,false,false,BEP,true,false,false,true,false,false
false,[16-26),Apprenti·e,true,false,BEP,false,false,true,false,true,false
false,[16-26),Stagiaire – En formation,true,false,BTS ou DUT,true,true,false,false,false,false
true,[16-30],Sans activité,true,false,BEPC,false,false,true,false,true,false
false,[26-30],Étudiant·e,true,false,BTS ou DUT,true,false,false,false,true,false
false,[16-26),Étudiant·e,true,false,BAC,false,false,false,false,true,false
false,[26-30],Apprenti·e,true,false,Autre,true,false,false,false,false,false
true,[26-30],Sans activité,true,false,BAC,false,true,false,true,false,false
false,[26-30],Apprenti·e,true,false,BTS ou DUT,true,true,true,true,true,false
true,[16-30],Sans activité,true,false,BEP,true,false,false,true,false,false
false,[16-30],Apprenti·e,true,false,BTS ou DUT,true,true,true,true,true,false
true,[16-30],Salarié·e,true,false,BTS ou DUT,true,true,false,true,false,false
false,[26-30],Sans activité,true,false,BEP,true,false,false,false,true,false
true,[16-30],Sans activité,true,false,Bac +3,true,false,false,true,true,false
true,[26-30],Étudiant·e,true,false,License,false,false,false,false,false,false
true,[16-30],Salarié·e,true,false,BTS ou DUT,false,false,false,false,false,false
false,[16-26),Stagiaire – En formation,true,false,Bac +3,false,true,true,false,false,false
true,[16-30],Sans activité,true,false,BTS ou DUT,false,true,true,true,false,false
true,[16-30],Étudiant·e,true,false,BTS ou DUT,true,true,false,false,true,false
false,[26-30],Apprenti·e,false,false,BEPC,true,false,true,true,false,false
false,[16-26),Stagiaire – En formation,true,false,BTS ou DUT,false,true,false,true,true,false
true,[26-30],Apprenti·e,true,false,CAP,false,true,false,true,true,false
true,[16-26),Apprenti·e,true,false,BEP,false,false,false,true,false,false
false,[16-26),Salarié·e,true,false,CAP,true,false,false,false,true,false
false,[16-30],Apprenti·e,true,false,BEPC,true,true,false,false,true,false
false,[16-30],Salarié·e,true,false,BAC,true,false,false,true,false,false
true,[26-30],Étudiant·e,true,false,BAC,false,true,false,false,false,false
false,[26-30],Étudiant·e,false,false,Bac +3,true,true,false,false,false,false
true,[26-30],Salarié·e,false,false,BEP,true,false,false,true,false,false
false,[16-30],Apprenti·e,true,false,BEPC,false,true,true,true,true,false
false,[16-30],Apprenti·e,true,false,Bac +3,false,true,true,true,true,false
false,[26-30],Sans activité,true,false,Autre,false,true,true,false,true,false
false,[16-26),Salarié·e,true,false,BAC,true,true,false,false,true,false
true,[16-26),Apprenti·e,true,false,Autre,false,true,true,false,true,false
true,[16-30],Apprenti·e,true,false,BAC,true,true,false,false,false,false
false,[16-30],Apprenti·e,true,false,Autre,true,true,true,false,false,false
true,[16-30],Salarié·e,true,false,BEPC,false,true,false,false,true,false
true,[16-26),Étudiant·e,true,false,License,true,false,true,false,true,false
false,[16-26),Stagiaire – En formation,true,false,CAP,false,false,true,true,true,false
false,[16-30],Apprenti·e,true,false,Autre,false,false,true,false,false,false
true,[16-26),Apprenti·e,true,false,BEPC,false,true,false,false,true,false
true,[26-30],Stagiaire – En formation,true,false,Autre,false,false,false,true,true,false
false,[26-30],Sans activité,true,false,CAP,false,true,false,true,true,false
true,[16-30],Salarié·e,true,false,BEPC,false,true,true,false,false,false
false,[16-26),Salarié·e,false,true,BEPC,false,false,false,false,false,true
false,[16-26),Salarié·e,false,true,CAP,false,false,false,false,false,true
false,[16-26),Salarié·e,false,true,BEP,false,false,false,false,false,true
false,[16-26),Salarié·e,false,false,BEPC,false,false,false,false,false,true
false,[16-26),Salarié·e,false,false,CAP,false,false,false,false,false,true
false,[16-26),Salarié·e,false,false,BEP,false,false,false,false,false,true
false,[16-26),Sans activité,false,false,BEPC,false,false,false,false,false,true
false,[16-26),Sans activité,false,false,CAP,false,false,false,false,false,true
false,[16-26),Sans activité,false,false,BEP,false,false,false,false,false,true
true,[16-26),Sans activité,true,true,BEPC,true,true,true,false,true,false
true,[16-26),Sans activité,true,true,BEPC,true,true,true,false,false,false
true,[16-26),Sans activité,true,true,BEPC,true,true,false,false,true,false
true,[16-26),Sans activité,true,true,BEPC,true,true,false,false,false,false
true,[16-26),Sans activité,true,true,BEPC,true,false,true,false,true,false
true,[16-26),Sans activité,true,true,BEPC,true,false,true,false,false,false
true,[16-26),Sans activité,true,true,BEPC,true,false,false,false,true,false
true,[16-26),Sans activité,true,true,BEPC,true,false,false,false,false,false
true,[16-26),Sans activité,true,true,BEPC,false,true,true,false,true,false
true,[16-26),Sans activité,true,true,BEPC,false,true,true,false,false,false
true,[16-26),Sans activité,true,true,BEPC,false,true,false,false,true,false
true,[16-26),Sans activité,true,true,BEPC,false,true,false,false,false,false
true,[16-26),Sans activité,true,true,BEPC,false,false,true,false,true,false
true,[16-26),Sans activité,true,true,BEPC,false,false,true,false,false,false
true,[16-26),Sans activité,true,true,BEPC,false,false,false,false,true,false
true,[16-26),Sans activité,true,true,BEPC,false,false,false,false,false,false
true,[16-26),Sans activité,true,true,CAP,true,true,true,false,true,false
true,[16-26),Sans activité,true,true,CAP,true,true,true,false,false,false
true,[16-26),Sans activité,true,true,CAP,true,true,false,false,true,false
true,[16-26),Sans activité,true,true,CAP,true,true,false,false,false,false
true,[16-26),Sans activité,true,true,CAP,true,false,true,false,true,false
true,[16-26),Sans activité,true,true,CAP,true,false,true,false,false,false
true,[16-26),Sans activité,true,true,CAP,true,false,false,false,true,false
true,[16-26),Sans activité,true,true,CAP,true,false,false,false,false,false
true,[16-26),Sans activité,true,true,CAP,false,true,true,false,true,false
true,[16-26),Sans activité,true,true,CAP,false,true,true,false,false,false
true,[16-26),Sans activité,true,true,CAP,false,true,false,false,true,false
true,[16-26),Sans activité,true,true,CAP,false,true,false,false,false,false
